		Veh¡culos Ligeros a Gasolina			Camionetas Ligeras a Gasolina			Camiones ligeros a Diesel			Veh¡culos pesados a Diesel			Camionetas Pesadas a Gasolina
		Composici¢n:	LDGV		Composici¢n:	LDGT1		Composici¢n:	LDDT		Composici¢n:	HDDV		Composici¢n:	 LDGT
		A¤o:	1991		A¤o:	1991		A¤o:	1991		A¤o:	1991		A¤o:	1991

mph	Km/hr	HC	CO	NOx	HC	CO	NOx	HC	CO	NOx	HC	CO	NOx	HC	CO	NOx
42.3	68.0	2.8	31.91	2.92	3.39	36.67	3.06	0.82	1.17	1.31	3.43	7.16	16.67	4.08	40.02	3.38
43.2	69.5	2.78	31.74	2.94	3.37	36.49	3.08	0.81	1.16	1.32	3.37	7.09	16.87	4.06	39.82	3.41
44.1	71.0	2.77	31.96	2.96	3.35	36.36	3.11	0.8	1.15	1.34	3.32	7.03	17.09	4.04	39.69	3.43
45.4	73.0	2.75	31.54	2.99	3.33	36.28	3.13	0.78	1.14	1.37	3.26	6.97	17.43	4.01	39.59	3.46
46.3	74.5	2.74	31.52	3.01	3.32	36.27	3.16	0.77	1.14	1.39	3.21	6.94	17.71	4	39.58	3.49
47.2	76.0	2.73	31.54	3.03	3.31	36.29	3.18	0.76	1.13	1.41	3.17	6.93	18.01	3.99	39.6	3.51
48.2	77.5	2.72	31.56	3.06	3.3	36.32	3.21	0.75	1.13	1.44	3.13	6.92	18.35	3.98	39.64	3.55
49.1	79.0	2.72	31.56	3.11	3.3	36.32	3.26	0.74	1.13	1.47	3.1	6.92	18.71	3.98	39.64	3.61
50.0	80.5	2.71	31.56	3.16	3.3	36.32	3.32	0.74	1.14	1.5	3.06	6.94	19.11	3.98	39.64	3.67
51.0	82.0	2.71	31.56	3.21	3.3	36.32	3.37	0.73	1.14	1.53	3.03	6.96	19.53	3.97	39.64	3.73
51.9	83.5	2.71	31.56	3.25	3.29	36.32	3.43	0.72	1.15	1.57	3.01	7	19.99	3.97	39.64	3.79
52.8	85.0	2.71	31.56	3.3	3.29	36.32	3.48	0.72	1.15	1.61	2.98	7.05	20.49	3.97	39.64	3.85
53.8	86.5	2.71	31.56	3.35	3.29	36.32	3.54	0.72	1.17	1.65	2.96	7.12	21.05	3.97	39.64	3.91
54.7	88.0	2.71	31.56	3.4	3.29	36.32	3.59	0.71	1.18	1.69	2.94	7.18	21.6	3.96	39.64	3.96
55.6	89.5	2.79	35.87	3.45	3.4	41.6	3.65	0.7	1.19	1.74	2.92	7.26	22.22	4.09	45.39	4.02
56.6	91.0	2.91	42.31	3.49	3.56	49.48	3.7	0.7	1.2	1.8	2.91	7.36	22.89	4.28	53.98	4.08
57.5	92.5	3.04	48.74	3.54	3.72	57.36	3.76	0.69	1.22	1.85	2.89	7.46	23.6	4.47	62.57	4.14
58.4	94.0	3.16	55.18	3.59	3.88	65.24	3.81	0.69	1.24	1.91	2.88	7.59	24.37	4.65	71.16	4.2
59.4	95.5	3.29	61.61	3.64	4.04	73.112	3.87	0.69	1.27	1.98	2.87	7.72	25.19	4.84	79.75	4.26
60.3	97.0	3.41	68.05	3.69	4.2	81	3.92	0.69	1.29	2.05	2.87	7.88	26.08	5.03	88.34	4.32
61.2	98.5	3.54	74.78	3.73	4.36	88.88	3.98	0.69	1.32	2.12	2.86	8.04	27.02	5.22	96.93	4.38
61.5	99.0	3.58	76.63	3.75	4.41	91.5	4	0.69	1.33	2.15	2.86	8.1	27.35	5.29	99.79	4.4
62.2	100.0	3.66	80.92	3.78	4.52	96.75	4.03	0.69	1.35	2.2	2.86	8.23	28.04	5.41	105.52	4.44
62.8	101.0	3.75	85.21	3.81	4.63	102.01	4.07	0.69	1.37	2.26	2.86	8.36	28.76	5.54	111.25	4.48
63.4	102.0	3.83	89.5	3.85	4.73	107.26	4.1	0.69	1.39	2.31	2.86	8.5	29.51	5.67	116.97	4.52
64.0	103.0	3.91	93.79	3.88	4.84	112.51	4.14	0.69	1.42	2.38	2.86	8.65	30.3	5.79	122.7	4.56
64.6	104.0	4	98.08	3.91	4.95	117.77	4.18	0.69	1.44	2.44	2.87	8.81	31.13	5.92	128.43	4.6
